date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:15	2527/2527	---M--	200	added ('OK')	image/png	etag:%22b157c7e337077afb5b378a0a7645a0f7%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775929e7e1c64ce86ca_logo.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775929e7e1c64ce86ca_logo.png	(from https://chatapap.webflow.io/)
12:31:15	2446/2446	---M--	200	added ('OK')	image/png	etag:%225091ae03baf1e0d52986adbb857eddd6%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775ce8ea2ff41cc0c9c_logo-1.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775ce8ea2ff41cc0c9c_logo-1.png	(from https://chatapap.webflow.io/)
12:31:15	2311/2311	---M--	200	added ('OK')	image/png	etag:%22f3ff628d8268764bc4c1dafb33ff5bcc%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775c4a024842449e6f3_logo-7.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775c4a024842449e6f3_logo-7.png	(from https://chatapap.webflow.io/)
12:31:15	1593/1593	---M--	200	added ('OK')	image/png	etag:%22db7efdd49dad7e452a4e200bd941a0bd%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77580554dc7bf3d7429_Service_1.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77580554dc7bf3d7429_Service_1.png	(from https://chatapap.webflow.io/)
12:31:16	1197/1197	---M--	200	added ('OK')	image/png	etag:%227546fb55e91789afca6c625a66c525d0%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775ffa57e6270709834_Service_2.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775ffa57e6270709834_Service_2.png	(from https://chatapap.webflow.io/)
12:31:16	1139/1139	---M--	200	added ('OK')	image/png	etag:%2248973f68adc107b509c7535121159bcf%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775abb423cfdb57dac1_Service_3.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda775abb423cfdb57dac1_Service_3.png	(from https://chatapap.webflow.io/)
12:31:16	1277/1277	---M--	200	added ('OK')	image/png	etag:%22fd6dda9a77b3f7d787bccda59896e939%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9f47783af1686bca8_Feature_Icon_1.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9f47783af1686bca8_Feature_Icon_1.png	(from https://chatapap.webflow.io/)
12:31:16	1403/1403	---M--	200	added ('OK')	image/png	etag:%22235d7a7c4bddcfc9ce977e3aec599292%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9eed68a26ecfea580_Feature_Icon_3.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9eed68a26ecfea580_Feature_Icon_3.png	(from https://chatapap.webflow.io/)
12:31:17	1562/1562	---M--	200	added ('OK')	image/png	etag:%22aadf56ef30d60b75de7df939f94210d5%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9fee042d9b29d03fa_Feature_Icon_7.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9fee042d9b29d03fa_Feature_Icon_7.png	(from https://chatapap.webflow.io/)
12:31:17	1475/1475	---M--	200	added ('OK')	image/png	etag:%22c86280e30a7b76a83ee06c5a6918274c%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c936a42cbf42990676_Feature_Icon_8.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c936a42cbf42990676_Feature_Icon_8.png	(from https://chatapap.webflow.io/)
12:31:17	1595/1595	---M--	200	added ('OK')	image/png	etag:%220d53b9422c11d8e9279826f002278499%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c93468e1a2dfcafd3a_Feature_Icon_5.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c93468e1a2dfcafd3a_Feature_Icon_5.png	(from https://chatapap.webflow.io/)
12:31:17	1005/1005	---M--	200	added ('OK')	image/png	etag:%22dee415f188e5bc9ace104a413ad6c6c5%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9f142ad8c6ad9bcf5_Feature_Icon_6.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c9f142ad8c6ad9bcf5_Feature_Icon_6.png	(from https://chatapap.webflow.io/)
12:31:18	1734/1734	---M--	200	added ('OK')	image/png	etag:%2290c39942833c41f8acebc9cd1a795cad%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c96ca432aa0675e0b8_Feature_Icon_4.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c96ca432aa0675e0b8_Feature_Icon_4.png	(from https://chatapap.webflow.io/)
12:31:18	1086/1086	---M--	200	added ('OK')	image/png	etag:%222a05346c2498dc772b3a3368b6ae091a%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c97ea1ca162bd380ce_Feature_Icon_2.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d047c97ea1ca162bd380ce_Feature_Icon_2.png	(from https://chatapap.webflow.io/)
12:31:18	1407/1407	---M--	200	added ('OK')	image/png	etag:%228a06855969691095b62625981f54a2e8%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77514585de16106b773_Pointer.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cda77514585de16106b773_Pointer.png	(from https://chatapap.webflow.io/)
12:31:19	138496/138496	---M--	200	added ('OK')	image/png	etag:%223325c9609f97951cb7b00e50b7c591db%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d4de9109eca4552402eb03_Frame_3.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65d4de9109eca4552402eb03_Frame_3.png	(from https://chatapap.webflow.io/)
12:31:19	56321/56321	---M--	200	added ('OK')	image/png	etag:%22713e1dc9a6bf84ef87e812c88120e3fa%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cf6542e5d56f9c188bc8f1_Frame_2.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cf6542e5d56f9c188bc8f1_Frame_2.png	(from https://chatapap.webflow.io/)
12:31:19	303/303	---M--	200	added ('OK')	image/png	etag:%22c4e868ad5547484e0ae95d67e5d11881%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cf65423deb77d30557bdf5_Check.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65cf65423deb77d30557bdf5_Check.png	(from https://chatapap.webflow.io/)
12:31:20	1558/1558	---M--	200	added ('OK')	image/png	etag:%22e35e587d6af53b928ae3178b52dc055c%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9bab8ece6cce97d60_Vector.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9bab8ece6cce97d60_Vector.png	(from https://chatapap.webflow.io/)
12:31:20	7662/7662	---M--	200	added ('OK')	image/jpeg	etag:%22647d67592ef23edf65918bdce1585797%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c1_Testimonial_Avatar_2.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c1_Testimonial_Avatar_2.jpg	(from https://chatapap.webflow.io/)
12:31:20	8792/8792	---M--	200	added ('OK')	image/jpeg	etag:%22e5aa66061a08d2739d4c89e14cdf89ba%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c3_Testimonial_Avatar_3.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c3_Testimonial_Avatar_3.jpg	(from https://chatapap.webflow.io/)
12:31:20	7893/7893	---M--	200	added ('OK')	image/jpeg	etag:%22c82386338744b9b78b7e295007ee4887%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c4_Testimonial_Avatar_5.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57c4_Testimonial_Avatar_5.jpg	(from https://chatapap.webflow.io/)
12:31:21	746/746	---M--	200	added ('OK')	image/png	etag:%221c3aecd19f26d01dc17520af991e532b%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c8961661f715e7226b_Plus.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c8961661f715e7226b_Plus.png	(from https://chatapap.webflow.io/)
12:31:21	13766/13766	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2011:08:03%20GMT	https://chatapap.webflow.io/template-info/style-guide	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/template-info/style-guide.html	(from https://chatapap.webflow.io/)
12:31:22	4623/4623	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2010:57:02%20GMT	https://chatapap.webflow.io/template-info/license	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/template-info/license.html	(from https://chatapap.webflow.io/)
12:31:22	3572/3572	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2008:45:30%20GMT	https://chatapap.webflow.io/template-info/change-log	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/template-info/change-log.html	(from https://chatapap.webflow.io/)
12:31:23	3145/3145	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2008:15:12%20GMT	https://chatapap.webflow.io/404	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/404.html	(from https://chatapap.webflow.io/)
12:31:23	4187/4187	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2010:28:29%20GMT	https://chatapap.webflow.io/401	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/chatapap.webflow.io/401.html	(from https://chatapap.webflow.io/)
12:31:23	561/561	---M--	200	added ('OK')	image/png	etag:%22dd098b1db4b94827d42f97f6a54e8b6e%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c99f792c46e346b36b_Facebook.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c99f792c46e346b36b_Facebook.png	(from https://chatapap.webflow.io/)
12:31:24	580/580	---M--	200	added ('OK')	image/png	etag:%228b40aad42dcda94e301021b127a99205%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c83f12b812a563acbc_Instagram.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c83f12b812a563acbc_Instagram.png	(from https://chatapap.webflow.io/)
12:31:24	568/568	---M--	200	added ('OK')	image/png	etag:%225a632d657b1e6939d795ea209f6c9e3c%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9b5b39a81831d20eb_X.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9b5b39a81831d20eb_X.png	(from https://chatapap.webflow.io/)
12:31:25	414/414	---M--	200	added ('OK')	image/png	etag:%2258a455e500feca0eacf7ec315a9ac078%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9000aa55496535494_LinkedIn.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65ce14c9000aa55496535494_LinkedIn.png	(from https://chatapap.webflow.io/)
12:31:25	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=65c9b678d86972b1b07c57b6	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c85f86.js	(from https://chatapap.webflow.io/)
12:31:26	550943/550943	---M-Z	200	added ('OK')	text/javascript	etag:%22bce2aeecc373c2027a64cf152cbaa1b6%22	https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/js/webflow.ecc2b39c6.js	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/assets-global.website-files.com/65c9b678d86972b1b07c57b6/js/webflow.ecc2b39c6.js	(from https://chatapap.webflow.io/)
12:31:27	144/144	---M--	200	added ('OK')	image/png	etag:%22986367507eaf6a621d1bea6bb1427fed%22	https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/65ca27de4522ac324b84d7bc_Box.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/assets-global.website-files.com/65c9b678d86972b1b07c57b6/65ca27de4522ac324b84d7bc_Box.png	(from https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/css/chatapap.webflow.145bf2ca9.css)
12:31:28	819/819	---M--	200	added ('OK')	image/png	etag:%2286e164de4a70d6abb22f255fdc132a7b%22	https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/65d03f10321ba6c43ba85c4c_Favicon-min.png	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/assets-global.website-files.com/65c9b678d86972b1b07c57b6/65d03f10321ba6c43ba85c4c_Favicon-min.png	(from https://chatapap.webflow.io/404)
12:31:29	3059/3059	---M--	200	added ('OK')	image/jpeg	etag:%222084b4a6ac6c4421bf341b069abb8293%22	https://assets-global.website-files.com/65c9b678d86972b1b07c57b6/65d03f16321ba6c43ba85ea6_Webclip-min.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/assets-global.website-files.com/65c9b678d86972b1b07c57b6/65d03f16321ba6c43ba85ea6_Webclip-min.jpg	(from https://chatapap.webflow.io/404)
12:31:30	791265/791265	---M--	200	added ('OK')	image/jpeg	etag:%22cac16c9a9dfcb31394e7148653fe2bd6%22	https://cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57bf_Richtext_Image.jpg	C:/My%20Web%20Sites/Chatapap%20AI%20chatbot/cdn.prod.website-files.com/65c9b678d86972b1b07c57b6/65c9b678d86972b1b07c57bf_Richtext_Image.jpg	(from https://chatapap.webflow.io/template-info/style-guide)
